image,start_x,start_y,end_x,end_y
Overlay_Image_FittsLaw_343_0_ Trial_ 8.jpg,884,794,1036,946
Overlay_Image_FittsLaw_343_0_ Trial_ 8.jpg,884,133,1036,286
Overlay_Image_FittsLaw_343_0_ Trial_ 9.jpg,710,756,742,790
Overlay_Image_FittsLaw_343_0_ Trial_ 9.jpg,1177,290,1210,322
Overlay_Image_FittsLaw_343_0_ Trial_ 10.jpg,1176,757,1210,789
Overlay_Image_FittsLaw_343_0_ Trial_ 10.jpg,710,290,742,322
Overlay_Image_FittsLaw_343_0_ Trial_ 7.jpg,944,854,976,886
Overlay_Image_FittsLaw_343_0_ Trial_ 7.jpg,944,192,976,225
Overlay_Image_FittsLaw_343_0_ Trial_ 6.jpg,1278,292,1774,788
Overlay_Image_FittsLaw_343_0_ Trial_ 6.jpg,146,292,642,788
Overlay_Image_FittsLaw_343_0_ Trial_ 4.jpg,1508,524,1542,556
Overlay_Image_FittsLaw_343_0_ Trial_ 4.jpg,378,524,410,556
Overlay_Image_FittsLaw_343_0_ Trial_ 5.jpg,1449,464,1602,616
Overlay_Image_FittsLaw_343_0_ Trial_ 5.jpg,318,464,470,616
Overlay_Image_FittsLaw_343_0_ Trial_ 1.jpg,1108,524,1142,556
Overlay_Image_FittsLaw_343_0_ Trial_ 1.jpg,778,524,810,556
Overlay_Image_FittsLaw_343_0_ Trial_ 2.jpg,1049,464,1202,616
Overlay_Image_FittsLaw_343_0_ Trial_ 2.jpg,718,464,870,616
Overlay_Image_FittsLaw_343_0_ Trial_ 3.jpg,1351,292,1846,788
Overlay_Image_FittsLaw_343_0_ Trial_ 3.jpg,74,292,570,788
